ID,SCOP (Jun 23 to Aug 23),SCOP (Sep 23 to Nov 23),SCOP (Dec 23 to Feb 24),SCOP (Mar 24 to May 24),SCOP (Jun 23 to Jun 24)
110,Data not available,Data not available,3.099954308798994,3.0414258522980306,3.0779364993832607
111,Data not available,Data not available,3.351950537617969,3.4427922605957395,3.3859313444370347
113,Data not available,Data not available,3.792282744966178,4.188534881669254,3.9593523687209276
114,Data not available,Data not available,4.228942160125739,4.705006281140533,4.437858144320179
115,Data not available,Data not available,4.173982241541093,4.33596566302846,4.232312911869669
116,Data not available,6.198698481561823,4.607589073378585,4.79415716094653,4.694245054627596
117,Data not available,Data not available,4.0328716002544125,4.272460065100903,4.135149659343181
120,Data not available,Data not available,2.8004553706149142,3.586485372347771,3.0675207067555577
122,Data not available,Data not available,3.4288245895092357,3.657429272425206,3.531214134761124
123,Data not available,Data not available,3.5298008289652736,3.4772872971165083,3.5090109771378066
124,Data not available,9.953846153846154,3.8347550444242136,4.87021578683032,4.225281706468815
125,Data not available,Data not available,3.1731533785891295,3.6917911184335384,3.3609675785017803
126,Data not available,Data not available,3.9144828562109573,4.296903974877311,4.086854010879324
127,Data not available,Data not available,3.2136705895284985,3.4178034098451406,3.292629891105156
132,Data not available,Data not available,3.7729521282824727,4.260548757404143,4.036188740744168
133,Data not available,2.1518346244919453,2.6183390053386724,3.0317290273020827,2.73792004290936
138,Data not available,Data not available,4.386587149017105,4.570794528422974,4.4875051715162195
139,Data not available,Data not available,4.9542909152672525,5.002995220068585,4.97966975981326
140,Data not available,2.810782958281302,4.101244371045328,4.500210137252155,4.228347211415403
143,Data not available,Data not available,4.83251923766175,4.371353939496839,4.647656457795505
144,Data not available,Data not available,4.343444513281075,4.228426002341157,4.2694903849158985
146,Data not available,Data not available,4.693307750039355,4.642439884936959,4.661552617688877
147,Data not available,Data not available,Data not available,3.8651107635514648,3.8651107635514648
148,Data not available,Data not available,3.866314626035386,3.5322677316036755,3.6447941598069598
149,Data not available,Data not available,4.588873080865363,4.775644698955119,4.71359601275928
150,Data not available,Data not available,4.515302246879354,4.361240927637505,4.444725883877657
151,Data not available,Data not available,4.779326145790692,4.628477199633191,4.68298198219561
152,Data not available,Data not available,3.5674284272126164,4.040233057805085,3.7548638429635504
153,Data not available,Data not available,4.62194681034605,5.0753005429767,4.9187227124828174
154,Data not available,Data not available,4.297572312046838,3.973857367159358,4.036286342160384
158,Data not available,Data not available,3.7754847496658184,4.293892187790916,4.036501096114609
159,Data not available,Data not available,3.852892201238292,4.552585422666382,4.314554463752646
160,Data not available,Data not available,4.406728931572287,3.913344483017897,4.054699437936213
161,Data not available,Data not available,4.808473516229349,4.694748335861481,4.727175538033919
162,Data not available,Data not available,3.523606083564095,3.6865376309506903,3.5837279925873973
163,Data not available,Data not available,2.861712968743146,2.279396576491351,2.401696407421259
169,Data not available,Data not available,4.4372128345193795,4.06520514756477,4.132169311499084
170,1.9852386439703669,3.899512167619443,3.4842754819447896,3.895944410581698,3.579330003947625
172,Data not available,Data not available,2.9654783195195917,2.8570900696183723,2.877035174959392
173,Data not available,Data not available,3.227655602436672,3.337546618940181,3.31233886607909
174,Data not available,Data not available,4.584356930079178,4.54416500554577,4.5528954191446
175,Data not available,Data not available,3.6938601346925473,4.214306666214313,4.129310282131405
176,Data not available,Data not available,4.327452831769108,4.870587714010867,4.791463397789838
193,Data not available,Data not available,3.632588713703464,3.7770880912976055,3.7675084918565287
