ID,Location,Output,Model,COP,FlowT,OutsideT,Days
106,"Alcester, Warwickshire",16 kW,Samsung Gen 6,2.92,35.5,8.5,364
55,"Brynrefail, Gwynedd",12 kW,NIBE F2040,2.90,21.5,11.2,195
96,"Mayfield, East Sussex",30 kW,2x Kensa Evo 15,2.89,37.9,0.0,186
172,"Wadhurst, East Sussex",15 kW,Kensa Evo15,2.89,37.9,0.0,186
223,Wokingham,7 kW,	Vaillant Arotherm+,2.86,43.5,11.9,163
333,Oxford,5 kW,Vaillant Arotherm+,2.76,53.6,17.2,9
82,Varese - Italy,8.5 kW,Mitsubishi Ecodan,2.74,32.0,6.1,363
133,Falkirk,5 kW,Vaillant Arotherm+,2.71,36.5,5.5,284
250,Nottingham,5 kW,Samsung Gen 7,2.71,51.5,19.2,123
291,Gainsborough,14 kW,Ideal HP290 ,2.69,37.4,6.1,74
40,Derby,11.2 kW,Mitsubishi Ecodan,2.69,41.5,9.6,243
320,"York, North Yorkshire",8 kW,Samsung Gen 7,2.58,47.6,16.6,40
70,"Carlby, STAMFORD",12 kW,Samsung Gen 6,2.57,48.7,11.9,325
240,Wrexham,7 kW,Vaillant Arotherm+,2.57,48.4,12.6,113
131,Swindon,9 kW,Daikin Altherma 3,2.56,35.3,8.0,52
290,"Ashford, Kent",8 kW,Ideal HP290,2.52,45.3,6.1,128
263,"Heathfield, East-Sussex",10 kW,Viessmann Vitocal 151A,2.51,46.7,18.4,106
23,Swindon,9 kW,Daikin Altherma 3,2.49,37.2,12.7,140
341,Surrey ,8 kW,Viessmann Vitocal 150A,2.48,41.2,22.4,42
303,"Holmfirth, West Yorkshire ",8 kW,Daikin Altherma 3,2.47,41.9,15.7,35
259,Northampton,9 kW,Daikin Altherma 3,2.43,40.7,18.0,96
49,Shirehampton Bristol,6 kW,Daikin Altherma,2.31,44.2,10.4,362
228,Birmingham,4 kW,Daikin Altherma 3,2.30,38.8,8.5,151
251,"Ottawa, Canada",7 kW,Gree Flexx,2.28,22.1,16.6,120
328,Wirral ,13 kW,Viessmann Vitocal 150A,2.28,50.7,16.4,54
305,"Drumclog, South Lanarkshire",12 kW,	Vaillant Arotherm+,2.25,36.2,13.8,49
269,Altrincham,5 kW,Vaillant Arotherm+,2.21,36.2,15.5,87
134,Coventry,8 kW,Daikin Altherma 3,2.12,41.2,14.1,62
295,Marston Moretaine,9 kW,Daikin Altherma 3,2.11,39.8,15.6,60
249,Surrey,8.3 kW,Nibe F2050,2.04,40.2,12.7,126
279,"London, UK",16 kW,Daikin Altherma 3,1.94,42.0,18.7,78
74,"Reigate, Surrey",11.2 kW,Mitsubishi Ecodan,1.87,38.4,16.8,106
324,Northamptonshire,9 kW,Daikin Altherma 3,1.72,39.4,14.7,33
299,Queensbury West Yorkshire,7 kW,Vaillant Arotherm+,1.19,38.7,13.4,56
163,"Finchampstead, Berkshire",7 kW,Vaillant Arotherm+,0.52,23.2,14.5,173
13,"Machynlleth, Wales",5 kW,Mitsubishi Ecodan,0.01,N/A,N/A,1
95,"Banavie, Fort William",2.7 kW,Mitsubishi SRC20ZSX-W,0.00,0.0,4.0,295
275,"Yvoir, Belgium",5 kW,Vaillant Arotherm+,-5.55,18.5,23.7,49
